
Model of Maule fault in Chile
3 fixed CMB points

 Gravity changes  -- element group #1 

 Simulation time = 0.000000 ; step size = 0

 coordinates                          accelerations . . .->      geoid change & gradients
   X             Y            Z       dg_x        dg_y      dg_z      dg_net        dN    P_zx     P_zy     P_zz
2.06453e+06  2.7243e+06  491341      1.65568e-10  1.72225e-10  -3.8847e-10     -9.82     -0.000342327    -2.6839e-17     -4.15594e-17     7.07653e-17
994350  562312  3.26362e+06      1.18837e-09  5.62412e-10  -1.42342e-09     -9.82     -0.000744743    -5.44174e-16     5.41063e-17     -1.63706e-15
2.03666e+06  2.53481e+06  -1.18567e+06      1.17967e-10  1.11705e-10  -2.52036e-10     -9.82     -0.000291409    2.02711e-18     -2.65304e-17     3.03947e-17
3.21309e+06  1.25204e+06  -283521      1.86094e-10  7.29485e-11  -2.93017e-10     -9.82     -0.000310867    -5.15669e-17     -8.25295e-17     4.16258e-17
-1.7207e+06  2.21671e+06  2.03759e+06      -3.52406e-10  4.01521e-10  -7.95386e-10     -9.82     -0.000455844    3.39742e-17     -2.3044e-16     1.17189e-16
933563  -3.15529e+06  -1.1054e+06      9.29112e-12  -1.23235e-10  -2.60792e-10     -9.82     -0.000290962    1.54373e-18     5.5392e-17     1.71532e-17
-2.12708e+06  1.62127e+06  2.21443e+06      -5.73816e-10  3.66486e-10  -8.93952e-10     -9.82     -0.000474386    1.91093e-16     -1.93184e-16     1.80932e-16
-900037  3.29817e+06  579173      -5.42502e-11  1.91099e-10  -3.98609e-10     -9.82     -0.000351405    1.67678e-17     -3.54097e-17     1.844e-17
1.66982e+06  2.98599e+06  -571696      1.04338e-10  1.34131e-10  -2.79223e-10     -9.82     -0.00030704    3.83198e-17     -5.25514e-17     2.127e-18
1.10193e+06  2.42198e+06  -2.23153e+06      5.72555e-11  1.14153e-10  -2.65318e-10     -9.82     -0.000273222    2.23493e-17     5.78974e-17     -2.42705e-17
-736796  3.13531e+06  1.30017e+06      -7.00323e-11  2.7544e-10  -5.27577e-10     -9.82     -0.000392356    6.54212e-17     -3.07411e-18     -9.45901e-18
-40575.4  3.43291e+06  314943      1.73927e-11  1.82692e-10  -3.74585e-10     -9.82     -0.000341556    3.18116e-17     -5.79481e-17     -3.80794e-18
755934  3.24765e+06  906092      8.10158e-11  2.42327e-10  -4.49773e-10     -9.82     -0.00036718    3.81373e-17     -1.20767e-16     -7.0444e-17
2.30658e+06  1.61183e+06  2.03532e+06      5.69385e-10  3.76945e-10  -7.5889e-10     -9.82     -0.000450672    -5.03485e-16     -2.97975e-16     1.29128e-16
-1.4214e+06  -159720  -3.15146e+06      -8.45712e-11  -3.10942e-11  -2.19965e-10     -9.82     -0.000249669    5.34591e-17     3.22027e-17     -2.85604e-17
-296373  3.26426e+06  1.12829e+06      -1.78143e-12  2.82553e-10  -4.86011e-10     -9.82     -0.000381367    -1.00951e-16     -2.06021e-16     1.70112e-16
807717  2.33353e+06  2.42953e+06      2.68816e-10  7.61494e-10  -9.70369e-10     -9.82     -0.000514391    -8.70477e-17     -6.49671e-16     -3.96385e-17
911595  1.08845e+06  -3.16242e+06      2.62475e-11  4.0781e-11  -2.9643e-10     -9.82     -0.000257692    9.5893e-17     8.07051e-17     -1.49547e-16
3.08184e+06  1.42527e+06  -713517      1.68638e-10  6.63054e-11  -2.61505e-10     -9.82     -0.000299295    -5.49676e-17     6.22689e-18     7.58905e-18
