  x        y       z         ux            uy          uz
25000   -24397.6   0      0.0648179   -0.0647991   -0.009268
25000   -23795.2   0      0.0666646   -0.0659295   -0.00921229
25000   -23192.8   0      0.0685761   -0.0670569   -0.00916057
25000   -22590.4   0      0.070477   -0.0681132   -0.00910326
25000   -21988   0      0.0723974   -0.0691385   -0.00901547
25000   -21385.5   0      0.0743046   -0.0700759   -0.00892246
25000   -20783.1   0      0.0761934   -0.0709731   -0.00880897
25000   -20180.7   0      0.0780872   -0.0717841   -0.00866916
25000   -19578.3   0      0.0798847   -0.0724876   -0.00853708
25000   -18975.9   0      0.0816753   -0.0731445   -0.00835208
25000   -18373.5   0      0.0834026   -0.0736695   -0.00815707
25000   -17771.1   0      0.0850063   -0.0741063   -0.00794259
25000   -17168.7   0      0.0865691   -0.0744156   -0.00769753
25000   -16566.3   0      0.0879428   -0.0745646   -0.00747679
25000   -15963.9   0      0.0892021   -0.0746214   -0.007204
25000   -15361.4   0      0.090341   -0.0745136   -0.00692021
25000   -14759   0      0.0912037   -0.0742659   -0.0066424
25000   -14156.6   0      0.091919   -0.0738802   -0.006322
25000   -13554.2   0      0.0924082   -0.0733133   -0.00598917
25000   -12951.8   0      0.0925625   -0.0726142   -0.00565303
25000   -12349.4   0      0.0925341   -0.0717388   -0.00529265
25000   -11747   0      0.0920416   -0.0707052   -0.00494445
25000   -11144.6   0      0.091307   -0.069544   -0.00457557
25000   -10542.2   0      0.0901568   -0.068215   -0.00420644
25000   -9939.76   0      0.0885302   -0.0667602   -0.00384598
25000   -9337.35   0      0.0866162   -0.0651864   -0.00345929
25000   -8734.94   0      0.0840938   -0.0634781   -0.00312261
25000   -8132.53   0      0.0812046   -0.061727   -0.00277619
25000   -7530.12   0      0.0778688   -0.0599124   -0.00242378
25000   -6927.71   0      0.0739148   -0.05803   -0.00213055
25000   -6325.3   0      0.0696234   -0.0561875   -0.00180993
25000   -5722.89   0      0.0646912   -0.0543004   -0.0015499
25000   -5120.48   0      0.0593735   -0.0525342   -0.0013165
25000   -4518.07   0      0.0536841   -0.0508867   -0.0010282
25000   -3915.66   0      0.0474387   -0.0492742   -0.000877233
25000   -3313.25   0      0.04094   -0.0479373   -0.000659331
25000   -2710.84   0      0.0340287   -0.0466846   -0.000495477
25000   -2108.43   0      0.0267942   -0.0456848   -0.000352499
25000   -1506.02   0      0.01952   -0.0449665   -0.000147138
25000   -903.614   0      0.0119375   -0.0443793   -5.07156e-05
25000   -301.205   0      0.00425291   -0.0441657   7.69125e-05
25000   301.205   0      -0.00344398   -0.0441014   0.000219028
25000   903.614   0      -0.0111351   -0.0443584   0.000340183
25000   1506.02   0      -0.0186892   -0.0449064   0.000518629
25000   2108.43   0      -0.0260833   -0.0455973   0.000651276
25000   2710.84   0      -0.0333377   -0.0466314   0.000790365
25000   3313.25   0      -0.0401547   -0.0477962   0.000976489
25000   3915.66   0      -0.0468075   -0.0491684   0.00113871
25000   4518.07   0      -0.0529371   -0.0507261   0.00131707
25000   5120.48   0      -0.0587   -0.0523718   0.00154788
25000   5722.89   0      -0.0641258   -0.0541533   0.00180002
25000   6325.3   0      -0.0689247   -0.0559675   0.00205165
25000   6927.71   0      -0.073355   -0.0578088   0.00230991
25000   7530.12   0      -0.0772914   -0.0596799   0.00260313
25000   8132.53   0      -0.0806205   -0.0614788   0.00293256
25000   8734.94   0      -0.0836429   -0.0632597   0.00322589
25000   9337.35   0      -0.0860274   -0.0649465   0.00357625
25000   9939.76   0      -0.0880486   -0.0665133   0.00392372
25000   10542.2   0      -0.0896799   -0.0679764   0.00425669
25000   11144.6   0      -0.0908108   -0.0693164   0.0046269
25000   11747   0      -0.0916755   -0.0705023   0.00497433
25000   12349.4   0      -0.0921044   -0.0715565   0.00533755
25000   12951.8   0      -0.0922128   -0.0724255   0.0056961
25000   13554.2   0      -0.0920831   -0.0731426   0.00602071
25000   14156.6   0      -0.0916009   -0.073719   0.00636144
25000   14759   0      -0.0909339   -0.0741041   0.0066737
25000   15361.4   0      -0.0900248   -0.0743671   0.00696886
25000   15963.9   0      -0.0889166   -0.0744684   0.0072625
25000   16566.3   0      -0.0876851   -0.0744222   0.00751586
25000   17168.7   0      -0.0862668   -0.0742642   0.00776348
25000   17771.1   0      -0.0847438   -0.0739449   0.00799257
25000   18373.5   0      -0.0831318   -0.0735318   0.0082133
25000   18975.9   0      -0.0814111   -0.0730044   0.00840212
25000   19578.3   0      -0.0796188   -0.0723538   0.00859108
25000   20180.7   0      -0.0778274   -0.071643   0.00871586
25000   20783.1   0      -0.0759624   -0.0708315   0.00887121
25000   21385.5   0      -0.0740971   -0.0699626   0.00896617
25000   21988   0      -0.0721836   -0.0690141   0.00907397
25000   22590.4   0      -0.0702805   -0.0679901   0.00916034
25000   23192.8   0      -0.0683952   -0.0669374   0.00922202
25000   23795.2   0      -0.0664891   -0.0658167   0.00926846
25000   24397.6   0      -0.0646513   -0.0646897   0.00931426
24397.6   25000   0      -0.0637865   -0.0652476   0.00931656
23795.2   25000   0      -0.0647333   -0.0669579   0.00926294
23192.8   25000   0      -0.0656595   -0.0687241   0.00922914
22590.4   25000   0      -0.0665043   -0.0704332   0.0091858
21988   25000   0      -0.0673147   -0.07214   0.00909802
21385.5   25000   0      -0.0680401   -0.0738406   0.00900216
20783.1   25000   0      -0.0686843   -0.0754523   0.00890057
20180.7   25000   0      -0.0692634   -0.0770707   0.00877327
19578.3   25000   0      -0.0697285   -0.0785667   0.00865255
18975.9   25000   0      -0.0701292   -0.0800014   0.00849039
18373.5   25000   0      -0.0703989   -0.081333   0.00831322
17771.1   25000   0      -0.0705786   -0.0825276   0.0081332
17168.7   25000   0      -0.0706495   -0.083651   0.0079221
16566.3   25000   0      -0.0705761   -0.0845721   0.00772206
15963.9   25000   0      -0.0704212   -0.0853285   0.0074858
15361.4   25000   0      -0.0701191   -0.0859398   0.00723124
14759   25000   0      -0.0696989   -0.0862807   0.00699265
14156.6   25000   0      -0.0691693   -0.0864421   0.0067157
13554.2   25000   0      -0.0684922   -0.0863697   0.006434
12951.8   25000   0      -0.0677135   -0.0859494   0.00615076
