  Node     xx        yy       zz         ux            uy          uz         dx            dy          dz
 17155    25000   -24397.6   0      0.00850298   -0.0242855   0.00142871      0.00850298   -0.0242855   0.00142871
 17154    25000   -23795.2   0      0.00837656   -0.0241168   0.00158191      0.00837656   -0.0241168   0.00158191
 17311    25000   -23192.8   0      0.00821831   -0.0239198   0.00174228      0.00821831   -0.0239198   0.00174228
 17393    25000   -22590.4   0      0.00803441   -0.0236939   0.00190869      0.00803441   -0.0236939   0.00190869
 17139    25000   -21988   0      0.00781056   -0.0234334   0.00208298      0.00781056   -0.0234334   0.00208298
 19485    25000   -21385.5   0      0.00756484   -0.0231433   0.00226063      0.00756484   -0.0231433   0.00226063
 19347    25000   -20783.1   0      0.00727437   -0.0228241   0.00244841      0.00727437   -0.0228241   0.00244841
 19288    25000   -20180.7   0      0.00694044   -0.0224667   0.00264363      0.00694044   -0.0224667   0.00264363
 19341    25000   -19578.3   0      0.00657036   -0.0220808   0.00284307      0.00657036   -0.0220808   0.00284307
 19163    25000   -18975.9   0      0.00614362   -0.0216542   0.0030461      0.00614362   -0.0216542   0.0030461
 19099    25000   -18373.5   0      0.00568223   -0.0212075   0.0032575      0.00568223   -0.0212075   0.0032575
 19019    25000   -17771.1   0      0.00517166   -0.0207201   0.00347525      0.00517166   -0.0207201   0.00347525
 18797    25000   -17168.7   0      0.00460063   -0.0202002   0.00369953      0.00460063   -0.0202002   0.00369953
 18798    25000   -16566.3   0      0.00398699   -0.0196498   0.00392639      0.00398699   -0.0196498   0.00392639
 18738    25000   -15963.9   0      0.00330888   -0.0190648   0.00415938      0.00330888   -0.0190648   0.00415938
 18805    25000   -15361.4   0      0.00258884   -0.0184632   0.00439891      0.00258884   -0.0184632   0.00439891
 18711    25000   -14759   0      0.00180732   -0.0178259   0.00464219      0.00180732   -0.0178259   0.00464219
 18546    25000   -14156.6   0      0.000970953   -0.0171728   0.00489339      0.000970953   -0.0171728   0.00489339
 18656    25000   -13554.2   0      9.25116e-05   -0.0164957   0.0051627      9.25116e-05   -0.0164957   0.0051627
 11967    25000   -12951.8   0      -0.000846948   -0.0157854   0.00542588      -0.000846948   -0.0157854   0.00542588
 12810    25000   -12349.4   0      -0.00182832   -0.0150867   0.00569192      -0.00182832   -0.0150867   0.00569192
 18508    25000   -11747   0      -0.00286553   -0.0143594   0.00596952      -0.00286553   -0.0143594   0.00596952
 18457    25000   -11144.6   0      -0.00393407   -0.0136369   0.00625835      -0.00393407   -0.0136369   0.00625835
 18280    25000   -10542.2   0      -0.00503642   -0.0129184   0.00653931      -0.00503642   -0.0129184   0.00653931
 18310    25000   -9939.76   0      -0.00616004   -0.0121888   0.00683743      -0.00616004   -0.0121888   0.00683743
 18276    25000   -9337.35   0      -0.00732828   -0.0114729   0.00714834      -0.00732828   -0.0114729   0.00714834
 10510    25000   -8734.94   0      -0.00848219   -0.0107572   0.00746891      -0.00848219   -0.0107572   0.00746891
 10511    25000   -8132.53   0      -0.00967811   -0.0100526   0.00780277      -0.00967811   -0.0100526   0.00780277
 18092    25000   -7530.12   0      -0.0108209   -0.0093907   0.00812084      -0.0108209   -0.0093907   0.00812084
 18040    25000   -6927.71   0      -0.0119378   -0.00873157   0.00847587      -0.0119378   -0.00873157   0.00847587
 18008    25000   -6325.3   0      -0.0130595   -0.00811639   0.00882134      -0.0130595   -0.00811639   0.00882134
 17960    25000   -5722.89   0      -0.0140821   -0.00751891   0.00917548      -0.0140821   -0.00751891   0.00917548
 17873    25000   -5120.48   0      -0.0150642   -0.00694791   0.00955656      -0.0150642   -0.00694791   0.00955656
 17874    25000   -4518.07   0      -0.0159619   -0.0064152   0.00994118      -0.0159619   -0.0064152   0.00994118
 17759    25000   -3915.66   0      -0.0167305   -0.00588858   0.0103537      -0.0167305   -0.00588858   0.0103537
 11978    25000   -3313.25   0      -0.0174434   -0.00540688   0.0107402      -0.0174434   -0.00540688   0.0107402
 11979    25000   -2710.84   0      -0.0179539   -0.0049355   0.0111658      -0.0179539   -0.0049355   0.0111658
 17546    25000   -2108.43   0      -0.0183793   -0.004481   0.0115868      -0.0183793   -0.004481   0.0115868
 17518    25000   -1506.02   0      -0.0186301   -0.00404954   0.0120044      -0.0186301   -0.00404954   0.0120044
 11941    25000   -903.614   0      -0.0186769   -0.00361202   0.0124488      -0.0186769   -0.00361202   0.0124488
 3992    25000   -301.205   0      -0.0186221   -0.00316108   0.0128766      -0.0186221   -0.00316108   0.0128766
 12249    25000   301.205   0      -0.0183363   -0.00270542   0.0133039      -0.0183363   -0.00270542   0.0133039
 12250    25000   903.614   0      -0.0178651   -0.00221183   0.0137244      -0.0178651   -0.00221183   0.0137244
 17791    25000   1506.02   0      -0.0172348   -0.00170125   0.0141232      -0.0172348   -0.00170125   0.0141232
 17825    25000   2108.43   0      -0.0163749   -0.00114494   0.0145351      -0.0163749   -0.00114494   0.0145351
 17785    25000   2710.84   0      -0.0153798   -0.000518764   0.0149232      -0.0153798   -0.000518764   0.0149232
 17913    25000   3313.25   0      -0.0142028   0.00015439   0.0152917      -0.0142028   0.00015439   0.0152917
 17916    25000   3915.66   0      -0.0128384   0.000890657   0.0156246      -0.0128384   0.000890657   0.0156246
 18033    25000   4518.07   0      -0.0113836   0.00169713   0.0159271      -0.0113836   0.00169713   0.0159271
 18126    25000   5120.48   0      -0.00976033   0.0025764   0.0162051      -0.00976033   0.0025764   0.0162051
 18160    25000   5722.89   0      -0.0080421   0.00355402   0.0164496      -0.0080421   0.00355402   0.0164496
 12121    25000   6325.3   0      -0.00625384   0.00458612   0.0166345      -0.00625384   0.00458612   0.0166345
 18218    25000   6927.71   0      -0.00434155   0.00571317   0.0168064      -0.00434155   0.00571317   0.0168064
 18259    25000   7530.12   0      -0.00243574   0.00692382   0.0169248      -0.00243574   0.00692382   0.0169248
 18260    25000   8132.53   0      -0.000491051   0.00817937   0.0169952      -0.000491051   0.00817937   0.0169952
 18423    25000   8734.94   0      0.0015165   0.00953619   0.0170135      0.0015165   0.00953619   0.0170135
 18501    25000   9337.35   0      0.00342406   0.0109013   0.0169981      0.00342406   0.0109013   0.0169981
 18523    25000   9939.76   0      0.00538662   0.0123413   0.0169209      0.00538662   0.0123413   0.0169209
 18429    25000   10542.2   0      0.00724955   0.0138112   0.0168205      0.00724955   0.0138112   0.0168205
 18427    25000   11144.6   0      0.00900762   0.0152753   0.0166421      0.00900762   0.0152753   0.0166421
 18630    25000   11747   0      0.0108084   0.0168259   0.0164701      0.0108084   0.0168259   0.0164701
 18667    25000   12349.4   0      0.0124222   0.018332   0.0162476      0.0124222   0.018332   0.0162476
 18767    25000   12951.8   0      0.0139845   0.019836   0.0159703      0.0139845   0.019836   0.0159703
 18723    25000   13554.2   0      0.0154639   0.0213492   0.015677      0.0154639   0.0213492   0.015677
 18909    25000   14156.6   0      0.0167568   0.0227953   0.0153246      0.0167568   0.0227953   0.0153246
 18833    25000   14759   0      0.0180301   0.0242537   0.0149922      0.0180301   0.0242537   0.0149922
 18834    25000   15361.4   0      0.019128   0.0256373   0.0146154      0.019128   0.0256373   0.0146154
 19068    25000   15963.9   0      0.0201169   0.026963   0.0141953      0.0201169   0.026963   0.0141953
 19113    25000   16566.3   0      0.0210452   0.0282651   0.0137971      0.0210452   0.0282651   0.0137971
 18640    25000   17168.7   0      0.0217954   0.0294705   0.0133503      0.0217954   0.0294705   0.0133503
 18641    25000   17771.1   0      0.0225135   0.030648   0.0129191      0.0225135   0.030648   0.0129191
 19437    25000   18373.5   0      0.0230828   0.0317318   0.0124679      0.0230828   0.0317318   0.0124679
 19372    25000   18975.9   0      0.0235476   0.0327393   0.012008      0.0235476   0.0327393   0.012008
 19532    25000   19578.3   0      0.0239621   0.0337035   0.0115568      0.0239621   0.0337035   0.0115568
 17365    25000   20180.7   0      0.0242388   0.0345738   0.0110891      0.0242388   0.0345738   0.0110891
 17364    25000   20783.1   0      0.0244686   0.035371   0.0106307      0.0244686   0.035371   0.0106307
 19629    25000   21385.5   0      0.0246076   0.0360962   0.0101758      0.0246076   0.0360962   0.0101758
 19655    25000   21988   0      0.0246713   0.036747   0.00972023      0.0246713   0.036747   0.00972023
 19608    25000   22590.4   0      0.0246927   0.0373329   0.00927798      0.0246927   0.0373329   0.00927798
 17359    25000   23192.8   0      0.0246364   0.0378477   0.00882136      0.0246364   0.0378477   0.00882136
 17264    25000   23795.2   0      0.0245588   0.0383001   0.00837182      0.0245588   0.0383001   0.00837182
 17249    25000   24397.6   0      0.0244214   0.038684   0.00793104      0.0244214   0.038684   0.00793104
 17129    24397.6   25000   0      0.0252928   0.0411608   0.0077278      0.0252928   0.0411608   0.0077278
 17130    23795.2   25000   0      0.0263436   0.043433   0.00793185      0.0263436   0.043433   0.00793185
 17414    23192.8   25000   0      0.0274414   0.0459225   0.00818284      0.0274414   0.0459225   0.00818284
 17319    22590.4   25000   0      0.0285478   0.0484948   0.00841406      0.0285478   0.0484948   0.00841406
 17448    21988   25000   0      0.0296904   0.0512956   0.00865501      0.0296904   0.0512956   0.00865501
 17451    21385.5   25000   0      0.0308322   0.0541774   0.00888621      0.0308322   0.0541774   0.00888621
