  node     xx        yy       zz         ux            uy          uz         dx            dy          dz
 17155    25000   -24397.6   0      0.00111283   -0.0150807   0.00437438      0.00111283   -0.0150807   0.00437438
 17154    25000   -23795.2   0      0.000924232   -0.0148616   0.00459718      0.000924232   -0.0148616   0.00459718
 17311    25000   -23192.8   0      0.000716014   -0.0146192   0.00482808      0.000716014   -0.0146192   0.00482808
 17393    25000   -22590.4   0      0.00049554   -0.0143619   0.00506459      0.00049554   -0.0143619   0.00506459
 17139    25000   -21988   0      0.000251491   -0.0140783   0.00531164      0.000251491   -0.0140783   0.00531164
 19485    25000   -21385.5   0      -1.81583e-06   -0.0137768   0.00556406      -1.81583e-06   -0.0137768   0.00556406
 19347    25000   -20783.1   0      -0.000277796   -0.0134566   0.00582623      -0.000277796   -0.0134566   0.00582623
 19288    25000   -20180.7   0      -0.000578672   -0.013111   0.00610075      -0.000578672   -0.013111   0.00610075
 19341    25000   -19578.3   0      -0.000890607   -0.0127523   0.00637934      -0.000890607   -0.0127523   0.00637934
 19163    25000   -18975.9   0      -0.00122861   -0.0123644   0.00666736      -0.00122861   -0.0123644   0.00666736
 19099    25000   -18373.5   0      -0.00157987   -0.0119702   0.00696297      -0.00157987   -0.0119702   0.00696297
 19019    25000   -17771.1   0      -0.00194609   -0.011549   0.00726711      -0.00194609   -0.011549   0.00726711
 18797    25000   -17168.7   0      -0.00234085   -0.0111096   0.00758359      -0.00234085   -0.0111096   0.00758359
 18798    25000   -16566.3   0      -0.00274101   -0.0106547   0.00790457      -0.00274101   -0.0106547   0.00790457
 18738    25000   -15963.9   0      -0.00315781   -0.0101776   0.00823435      -0.00315781   -0.0101776   0.00823435
 18805    25000   -15361.4   0      -0.00358251   -0.00970032   0.00857044      -0.00358251   -0.00970032   0.00857044
 18711    25000   -14759   0      -0.0040163   -0.00920131   0.00891645      -0.0040163   -0.00920131   0.00891645
 18546    25000   -14156.6   0      -0.00445524   -0.0086962   0.00927259      -0.00445524   -0.0086962   0.00927259
 18656    25000   -13554.2   0      -0.00488508   -0.00818272   0.00964206      -0.00488508   -0.00818272   0.00964206
 11967    25000   -12951.8   0      -0.00530897   -0.0076488   0.0100153      -0.00530897   -0.0076488   0.0100153
 12810    25000   -12349.4   0      -0.00572711   -0.00713444   0.0103897      -0.00572711   -0.00713444   0.0103897
 18508    25000   -11747   0      -0.00613334   -0.00660327   0.010782      -0.00613334   -0.00660327   0.010782
 18457    25000   -11144.6   0      -0.00651328   -0.00607196   0.0111848      -0.00651328   -0.00607196   0.0111848
 18280    25000   -10542.2   0      -0.00685114   -0.00555319   0.0115828      -0.00685114   -0.00555319   0.0115828
 18310    25000   -9939.76   0      -0.00714155   -0.00502488   0.0119927      -0.00714155   -0.00502488   0.0119927
 18276    25000   -9337.35   0      -0.00740864   -0.00450502   0.0124226      -0.00740864   -0.00450502   0.0124226
 10510    25000   -8734.94   0      -0.00758892   -0.00398094   0.012854      -0.00758892   -0.00398094   0.012854
 10511    25000   -8132.53   0      -0.00772113   -0.00345863   0.0133043      -0.00772113   -0.00345863   0.0133043
 18092    25000   -7530.12   0      -0.00775387   -0.002957   0.0137387      -0.00775387   -0.002957   0.0137387
 18040    25000   -6927.71   0      -0.0076806   -0.00244289   0.0141935      -0.0076806   -0.00244289   0.0141935
 18008    25000   -6325.3   0      -0.00754139   -0.00194412   0.014648      -0.00754139   -0.00194412   0.014648
 17960    25000   -5722.89   0      -0.00725324   -0.00143935   0.0151012      -0.00725324   -0.00143935   0.0151012
 17873    25000   -5120.48   0      -0.00685279   -0.000930468   0.0155618      -0.00685279   -0.000930468   0.0155618
 17874    25000   -4518.07   0      -0.00632746   -0.000410889   0.0160263      -0.00632746   -0.000410889   0.0160263
 17759    25000   -3915.66   0      -0.00562259   0.000130708   0.0164947      -0.00562259   0.000130708   0.0164947
 11978    25000   -3313.25   0      -0.00480313   0.000684911   0.0169463      -0.00480313   0.000684911   0.0169463
 11979    25000   -2710.84   0      -0.00380848   0.00126771   0.0174015      -0.00380848   0.00126771   0.0174015
 17546    25000   -2108.43   0      -0.00265424   0.00189174   0.0178487      -0.00265424   0.00189174   0.0178487
 17518    25000   -1506.02   0      -0.00134875   0.00255438   0.0182789      -0.00134875   0.00255438   0.0182789
 11941    25000   -903.614   0      0.000139708   0.00326215   0.0186958      0.000139708   0.00326215   0.0186958
 3992    25000   -301.205   0      0.00176362   0.00404945   0.0191005      0.00176362   0.00404945   0.0191005
 12249    25000   301.205   0      0.00353294   0.00488352   0.0194725      0.00353294   0.00488352   0.0194725
 12250    25000   903.614   0      0.00548762   0.00580264   0.0198156      0.00548762   0.00580264   0.0198156
 17791    25000   1506.02   0      0.00752146   0.0068068   0.0201192      0.00752146   0.0068068   0.0201192
 17825    25000   2108.43   0      0.00968959   0.00788702   0.020405      0.00968959   0.00788702   0.020405
 17785    25000   2710.84   0      0.0119751   0.00908999   0.0206531      0.0119751   0.00908999   0.0206531
 17913    25000   3313.25   0      0.0142929   0.0103591   0.0208551      0.0142929   0.0103591   0.0208551
 17916    25000   3915.66   0      0.0167105   0.0117223   0.0209824      0.0167105   0.0117223   0.0209824
 18033    25000   4518.07   0      0.0191516   0.0131784   0.0210931      0.0191516   0.0131784   0.0210931
 18126    25000   5120.48   0      0.0215636   0.0146951   0.0211087      0.0215636   0.0146951   0.0211087
 18160    25000   5722.89   0      0.0240581   0.0163347   0.0211446      0.0240581   0.0163347   0.0211446
 12121    25000   6325.3   0      0.0263996   0.0180079   0.021055      0.0263996   0.0180079   0.021055
 18218    25000   6927.71   0      0.0288133   0.0197877   0.0209702      0.0288133   0.0197877   0.0209702
 18259    25000   7530.12   0      0.0310953   0.0216182   0.0208157      0.0310953   0.0216182   0.0208157
 18260    25000   8132.53   0      0.0332332   0.0234593   0.0206026      0.0332332   0.0234593   0.0206026
 18423    25000   8734.94   0      0.0353737   0.0253809   0.020323      0.0353737   0.0253809   0.020323
 18501    25000   9337.35   0      0.037267   0.0272645   0.0199948      0.037267   0.0272645   0.0199948
 18523    25000   9939.76   0      0.039101   0.0291727   0.0196097      0.039101   0.0291727   0.0196097
 18429    25000   10542.2   0      0.0407628   0.0310561   0.0192183      0.0407628   0.0310561   0.0192183
 18427    25000   11144.6   0      0.0421766   0.0328782   0.018737      0.0421766   0.0328782   0.018737
 18630    25000   11747   0      0.0436079   0.0347536   0.0182868      0.0436079   0.0347536   0.0182868
 18667    25000   12349.4   0      0.0447428   0.0365237   0.0177728      0.0447428   0.0365237   0.0177728
 18767    25000   12951.8   0      0.0457572   0.0382357   0.0172271      0.0457572   0.0382357   0.0172271
 18723    25000   13554.2   0      0.0466388   0.0398955   0.0166717      0.0466388   0.0398955   0.0166717
 18909    25000   14156.6   0      0.0472521   0.0414351   0.0160627      0.0472521   0.0414351   0.0160627
 18833    25000   14759   0      0.0478261   0.0429379   0.0154931      0.0478261   0.0429379   0.0154931
 18834    25000   15361.4   0      0.048184   0.0443199   0.0148838      0.048184   0.0443199   0.0148838
 19068    25000   15963.9   0      0.0483777   0.0455806   0.0142441      0.0483777   0.0455806   0.0142441
 19113    25000   16566.3   0      0.0485206   0.0467818   0.0136456      0.0485206   0.0467818   0.0136456
 18640    25000   17168.7   0      0.0484515   0.047841   0.013007      0.0484515   0.047841   0.013007
 18641    25000   17771.1   0      0.0483478   0.0488363   0.0124018      0.0483478   0.0488363   0.0124018
 19437    25000   18373.5   0      0.0480938   0.0497039   0.0117811      0.0480938   0.0497039   0.0117811
 19372    25000   18975.9   0      0.0477204   0.0504642   0.0111791      0.0477204   0.0504642   0.0111791
 19532    25000   19578.3   0      0.0473176   0.0511522   0.0105903      0.0473176   0.0511522   0.0105903
 17365    25000   20180.7   0      0.0467781   0.0517252   0.00999798      0.0467781   0.0517252   0.00999798
 17364    25000   20783.1   0      0.0461939   0.052193   0.00942223      0.0461939   0.052193   0.00942223
 19629    25000   21385.5   0      0.045554   0.052583   0.00885976      0.045554   0.052583   0.00885976
 19655    25000   21988   0      0.044833   0.0528791   0.00831483      0.044833   0.0528791   0.00831483
 19608    25000   22590.4   0      0.0441048   0.0530998   0.00778758      0.0441048   0.0530998   0.00778758
 17359    25000   23192.8   0      0.043324   0.053246   0.007251      0.043324   0.053246   0.007251
 17264    25000   23795.2   0      0.0425387   0.0533134   0.0067217      0.0425387   0.0533134   0.0067217
 17249    25000   24397.6   0      0.0417264   0.0533099   0.00621152      0.0417264   0.0533099   0.00621152
 17129    24397.6   25000   0      0.0422025   0.0557777   0.00597698      0.0422025   0.0557777   0.00597698
 17130    23795.2   25000   0      0.0434881   0.0584304   0.0061968      0.0434881   0.0584304   0.0061968
 17414    23192.8   25000   0      0.0448176   0.0613179   0.00647877      0.0448176   0.0613179   0.00647877
 17319    22590.4   25000   0      0.0461285   0.06428   0.00673664      0.0461285   0.06428   0.00673664
 17448    21988   25000   0      0.0474608   0.0674634   0.00700214      0.0474608   0.0674634   0.00700214
 17451    21385.5   25000   0      0.0487704   0.070716   0.00724416      0.0487704   0.070716   0.00724416
 18821    20783.1   25000   0      0.0500763   0.0741203   0.00751147      0.0500763   0.0741203   0.00751147
 19194    20180.7   25000   0      0.0513743   0.0777526   0.00781455      0.0513743   0.0777526   0.00781455
 19195    19578.3   25000   0      0.0526168   0.0814512   0.00809374      0.0526168   0.0814512   0.00809374
 19191    18975.9   25000   0      0.0538416   0.0853779   0.00840781      0.0538416   0.0853779   0.00840781
 19098    18373.5   25000   0      0.0549983   0.0893953   0.00871149      0.0549983   0.0893953   0.00871149
 19086    17771.1   25000   0      0.056119   0.0935524   0.00903088      0.056119   0.0935524   0.00903088
 18950    17168.7   25000   0      0.0571618   0.0979127   0.00937917      0.0571618   0.0979127   0.00937917
 18867    16566.3   25000   0      0.0580733   0.102328   0.00974226      0.0580733   0.102328   0.00974226
 18862    15963.9   25000   0      0.0589078   0.106922   0.0101103      0.0589078   0.106922   0.0101103
 18715    15361.4   25000   0      0.0596081   0.111609   0.0104982      0.0596081   0.111609   0.0104982
 18716    14759   25000   0      0.0602045   0.116369   0.0108961      0.0602045   0.116369   0.0108961
 18675    14156.6   25000   0      0.060612   0.12129   0.0112993      0.060612   0.12129   0.0112993
 18662    13554.2   25000   0      0.0608353   0.126187   0.01166      0.0608353   0.126187   0.01166
 18442    12951.8   25000   0      0.0609244   0.131109   0.0120542      0.0609244   0.131109   0.0120542
 18444    12349.4   25000   0      0.0607778   0.136085   0.0125162      0.0607778   0.136085   0.0125162
 12254    11747   25000   0      0.060471   0.141039   0.0129389      0.060471   0.141039   0.0129389
 18445    11144.6   25000   0      0.0599009   0.145973   0.0133289      0.0599009   0.145973   0.0133289
 18335    10542.2   25000   0      0.0590786   0.15078   0.0137759      0.0590786   0.15078   0.0137759
 17687    9939.76   25000   0      0.058062   0.155375   0.0141901      0.058062   0.155375   0.0141901
 18282    9337.35   25000   0      0.0567513   0.160026   0.0145703      0.0567513   0.160026   0.0145703
 18200    8734.94   25000   0      0.055234   0.16425   0.014947      0.055234   0.16425   0.014947
 17682    8132.53   25000   0      0.0534701   0.168436   0.0153187      0.0534701   0.168436   0.0153187
 18178    7530.12   25000   0      0.0514084   0.172236   0.0157156      0.0514084   0.172236   0.0157156
 18065    6927.71   25000   0      0.0491392   0.175572   0.0159774      0.0491392   0.175572   0.0159774
 18045    6325.3   25000   0      0.0466142   0.178883   0.0163862      0.0466142   0.178883   0.0163862
 17947    5722.89   25000   0      0.0438982   0.181512   0.0166918      0.0438982   0.181512   0.0166918
 17813    5120.48   25000   0      0.040973   0.183786   0.0169176      0.040973   0.183786   0.0169176
 17823    4518.07   25000   0      0.0378426   0.185683   0.017185      0.0378426   0.185683   0.017185
 17819    3915.66   25000   0      0.0345886   0.186801   0.0172827      0.0345886   0.186801   0.0172827
 17709    3313.25   25000   0      0.0312189   0.187807   0.0175402      0.0312189   0.187807   0.0175402
 17480    2710.84   25000   0      0.0277262   0.187878   0.0176021      0.0277262   0.187878   0.0176021
 17478    2108.43   25000   0      0.0241904   0.187651   0.017779      0.0241904   0.187651   0.017779
 17483    1506.02   25000   0      0.0206159   0.186908   0.0178136      0.0206159   0.186908   0.0178136
 17544    903.614   25000   0      0.0170176   0.185331   0.0177444      0.0170176   0.185331   0.0177444
 17465    301.205   25000   0      0.0135044   0.183581   0.0178049      0.0135044   0.183581   0.0178049
 17463    -301.205   25000   0      0.010027   0.181111   0.0176912      0.010027   0.181111   0.0176912
 17474    -903.614   25000   0      0.0066687   0.178096   0.017654      0.0066687   0.178096   0.017654
 17472    -1506.02   25000   0      0.00345212   0.174777   0.0175219      0.00345212   0.174777   0.0175219
 17794    -2108.43   25000   0      0.000332215   0.170761   0.0173326      0.000332215   0.170761   0.0173326
 17894    -2710.84   25000   0      -0.00252985   0.166565   0.01713      -0.00252985   0.166565   0.01713
 17921    -3313.25   25000   0      -0.0052213   0.161913   0.0168868      -0.0052213   0.161913   0.0168868
 17967    -3915.66   25000   0      -0.00769243   0.156813   0.0166198      -0.00769243   0.156813   0.0166198
 18074    -4518.07   25000   0      -0.00992159   0.151667   0.0164178      -0.00992159   0.151667   0.0164178
 18088    -5120.48   25000   0      -0.0119478   0.146053   0.0160658      -0.0119478   0.146053   0.0160658
 11274    -5722.89   25000   0      -0.0136697   0.140437   0.0158195      -0.0136697   0.140437   0.0158195
 18163    -6325.3   25000   0      -0.0151958   0.13459   0.0154972      -0.0151958   0.13459   0.0154972
 18165    -6927.71   25000   0      -0.0164685   0.128623   0.015208      -0.0164685   0.128623   0.015208
 18222    -7530.12   25000   0      -0.0174536   0.122757   0.0148581      -0.0174536   0.122757   0.0148581
 17699    -8132.53   25000   0      -0.0182606   0.116771   0.0145096      -0.0182606   0.116771   0.0145096
 17700    -8734.94   25000   0      -0.0187968   0.110762   0.0141836      -0.0187968   0.110762   0.0141836
 18498    -9337.35   25000   0      -0.01919   0.104977   0.013816      -0.01919   0.104977   0.013816
 18499    -9939.76   25000   0      -0.0193454   0.0990997   0.013507      -0.0193454   0.0990997   0.013507
 18522    -10542.2   25000   0      -0.0193038   0.0934989   0.0131723      -0.0193038   0.0934989   0.0131723
 13132    -11144.6   25000   0      -0.0191473   0.088052   0.0128568      -0.0191473   0.088052   0.0128568
 18549    -11747   25000   0      -0.0188012   0.0826855   0.0125279      -0.0188012   0.0826855   0.0125279
 18502    -12349.4   25000   0      -0.0183727   0.0776028   0.012193      -0.0183727   0.0776028   0.012193
 18787    -12951.8   25000   0      -0.0178344   0.0726995   0.0119083      -0.0178344   0.0726995   0.0119083
 18790    -13554.2   25000   0      -0.0171612   0.0679687   0.0116161      -0.0171612   0.0679687   0.0116161
 18844    -14156.6   25000   0      -0.0164609   0.0635359   0.0113517      -0.0164609   0.0635359   0.0113517
 18903    -14759   25000   0      -0.0156693   0.0592276   0.0110623      -0.0156693   0.0592276   0.0110623
 19050    -15361.4   25000   0      -0.0148582   0.0552272   0.0107917      -0.0148582   0.0552272   0.0107917
 18977    -15963.9   25000   0      -0.0140133   0.0514065   0.010541      -0.0140133   0.0514065   0.010541
 19227    -16566.3   25000   0      -0.013112   0.0477756   0.0102851      -0.013112   0.0477756   0.0102851
 19133    -17168.7   25000   0      -0.0122285   0.0444327   0.0100722      -0.0122285   0.0444327   0.0100722
 19131    -17771.1   25000   0      -0.0113344   0.041216   0.00983411      -0.0113344   0.041216   0.00983411
 19132    -18373.5   25000   0      -0.0104472   0.038253   0.0096095      -0.0104472   0.038253   0.0096095
 21152    -18975.9   25000   0      -0.00958011   0.03548   0.00940932      -0.00958011   0.03548   0.00940932
 19589    -19578.3   25000   0      -0.00871595   0.0328675   0.00919873      -0.00871595   0.0328675   0.00919873
 19458    -20180.7   25000   0      -0.00789121   0.0304887   0.00901946      -0.00789121   0.0304887   0.00901946
 17361    -20783.1   25000   0      -0.00708123   0.0282101   0.00881653      -0.00708123   0.0282101   0.00881653
 17362    -21385.5   25000   0      -0.00630524   0.0261309   0.00863593      -0.00630524   0.0261309   0.00863593
 18514    -21988   25000   0      -0.00556939   0.0242042   0.00846722      -0.00556939   0.0242042   0.00846722
 17186    -22590.4   25000   0      -0.00486142   0.0223894   0.0082909      -0.00486142   0.0223894   0.0082909
 17194    -23192.8   25000   0      -0.00418986   0.0207521   0.00813211      -0.00418986   0.0207521   0.00813211
 17336    -23795.2   25000   0      -0.00354835   0.0191919   0.00797654      -0.00354835   0.0191919   0.00797654
 17257    -24397.6   25000   0      -0.00294293   0.017766   0.00783214      -0.00294293   0.017766   0.00783214
 17192    -25000   24397.6   0      -0.0018322   0.015782   0.00796615      -0.0018322   0.015782   0.00796615
 17242    -25000   23795.2   0      -0.0012426   0.0150717   0.00823389      -0.0012426   0.0150717   0.00823389
 17183    -25000   23192.8   0      -0.00056152   0.0142983   0.0085058      -0.00056152   0.0142983   0.0085058
 17182    -25000   22590.4   0      0.000139572   0.0135031   0.00877677      0.000139572   0.0135031   0.00877677
 18742    -25000   21988   0      0.000939324   0.0126482   0.00904036      0.000939324   0.0126482   0.00904036
 19157    -25000   21385.5   0      0.00178663   0.0117607   0.0093029      0.00178663   0.0117607   0.0093029
