  Node     xx        yy       zz         ux            uy          uz         dx            dy          dz
 13316    25000   -24397.6   0      -0.0196205   0.0385521   -0.00217193      -0.0196205   0.0385521   -0.00217193
 6647    25000   -23795.2   0      -0.0199941   0.0387101   -0.00243675      -0.0199941   0.0387101   -0.00243675
 6649    25000   -23192.8   0      -0.0203706   0.0388421   -0.00271396      -0.0203706   0.0388421   -0.00271396
 10252    25000   -22590.4   0      -0.0207319   0.0389425   -0.00299465      -0.0207319   0.0389425   -0.00299465
 5179    25000   -21988   0      -0.0210892   0.0390093   -0.00328737      -0.0210892   0.0390093   -0.00328737
 14771    25000   -21385.5   0      -0.021441   0.0390423   -0.00358317      -0.021441   0.0390423   -0.00358317
 4959    25000   -20783.1   0      -0.0217519   0.0390284   -0.00389094      -0.0217519   0.0390284   -0.00389094
 20182    25000   -20180.7   0      -0.022063   0.0389835   -0.00422318      -0.022063   0.0389835   -0.00422318
 5581    25000   -19578.3   0      -0.0223332   0.0388807   -0.00456237      -0.0223332   0.0388807   -0.00456237
 2751    25000   -18975.9   0      -0.0225764   0.0387263   -0.00491557      -0.0225764   0.0387263   -0.00491557
 5601    25000   -18373.5   0      -0.0228016   0.0385368   -0.00527942      -0.0228016   0.0385368   -0.00527942
 4198    25000   -17771.1   0      -0.0229712   0.0382854   -0.00566053      -0.0229712   0.0382854   -0.00566053
 6564    25000   -17168.7   0      -0.0231166   0.0379787   -0.00605395      -0.0231166   0.0379787   -0.00605395
 5771    25000   -16566.3   0      -0.0232028   0.0376028   -0.00645418      -0.0232028   0.0376028   -0.00645418
 1159    25000   -15963.9   0      -0.0232327   0.0371647   -0.00685813      -0.0232327   0.0371647   -0.00685813
 2774    25000   -15361.4   0      -0.0232236   0.0366756   -0.00729509      -0.0232236   0.0366756   -0.00729509
 2177    25000   -14759   0      -0.0231427   0.0361191   -0.00772404      -0.0231427   0.0361191   -0.00772404
 5047    25000   -14156.6   0      -0.0230093   0.0355038   -0.00817268      -0.0230093   0.0355038   -0.00817268
 780    25000   -13554.2   0      -0.0227973   0.0348079   -0.00862256      -0.0227973   0.0348079   -0.00862256
 3326    25000   -12951.8   0      -0.0224904   0.0340474   -0.00908386      -0.0224904   0.0340474   -0.00908386
 821    25000   -12349.4   0      -0.0221551   0.033235   -0.0095647      -0.0221551   0.033235   -0.0095647
 6299    25000   -11747   0      -0.021692   0.0323427   -0.0100528      -0.021692   0.0323427   -0.0100528
 5778    25000   -11144.6   0      -0.0211505   0.0313935   -0.0105438      -0.0211505   0.0313935   -0.0105438
 4614    25000   -10542.2   0      -0.0205376   0.0303801   -0.0110195      -0.0205376   0.0303801   -0.0110195
 5109    25000   -9939.76   0      -0.0198024   0.0293112   -0.0115062      -0.0198024   0.0293112   -0.0115062
