  Node     xx        yy       zz         ux            uy          uz         dx            dy          dz
 60296    25000   -24397.6   0      0.0586753   -0.0585957   -0.00833975      0.0586753   -0.0585957   -0.00833975
 62928    25000   -23795.2   0      0.060344   -0.0596098   -0.00828652      0.060344   -0.0596098   -0.00828652
 62330    25000   -23192.8   0      0.0620705   -0.0606203   -0.00823683      0.0620705   -0.0606203   -0.00823683
 65089    25000   -22590.4   0      0.0637871   -0.0615656   -0.00818197      0.0637871   -0.0615656   -0.00818197
 63435    25000   -21988   0      0.06552   -0.0624819   -0.00809962      0.06552   -0.0624819   -0.00809962
 66071    25000   -21385.5   0      0.0672405   -0.0633178   -0.00801237      0.0672405   -0.0633178   -0.00801237
 62324    25000   -20783.1   0      0.0689426   -0.0641164   -0.0079068      0.0689426   -0.0641164   -0.0079068
 66094    25000   -20180.7   0      0.0706488   -0.0648363   -0.00777734      0.0706488   -0.0648363   -0.00777734
 66052    25000   -19578.3   0      0.0722665   -0.065458   -0.00765501      0.0722665   -0.065458   -0.00765501
 66004    25000   -18975.9   0      0.0738764   -0.0660367   -0.00748497      0.0738764   -0.0660367   -0.00748497
 53465    25000   -18373.5   0      0.0754281   -0.0664955   -0.00730573      0.0754281   -0.0664955   -0.00730573
 53463    25000   -17771.1   0      0.0768659   -0.0668736   -0.00710941      0.0768659   -0.0668736   -0.00710941
 65887    25000   -17168.7   0      0.0782656   -0.0671361   -0.00688537      0.0782656   -0.0671361   -0.00688537
 65886    25000   -16566.3   0      0.0794928   -0.0672533   -0.00668342      0.0794928   -0.0672533   -0.00668342
 65790    25000   -15963.9   0      0.0806142   -0.0672864   -0.00643512      0.0806142   -0.0672864   -0.00643512
 65789    25000   -15361.4   0      0.0816264   -0.0671709   -0.0061768      0.0816264   -0.0671709   -0.0061768
 65758    25000   -14759   0      0.0823866   -0.0669288   -0.00592451      0.0823866   -0.0669288   -0.00592451
 61055    25000   -14156.6   0      0.0830122   -0.0665623   -0.0056342      0.0830122   -0.0665623   -0.0056342
 63752    25000   -13554.2   0      0.0834327   -0.0660326   -0.00533268      0.0834327   -0.0660326   -0.00533268
 63753    25000   -12951.8   0      0.0835483   -0.0653837   -0.0050292      0.0835483   -0.0653837   -0.0050292
 65656    25000   -12349.4   0      0.083499   -0.064577   -0.00470396      0.083499   -0.064577   -0.00470396
 65623    25000   -11747   0      0.083029   -0.0636281   -0.00439077      0.083029   -0.0636281   -0.00439077
 65593    25000   -11144.6   0      0.0823398   -0.0625657   -0.00405951      0.0823398   -0.0625657   -0.00405951
 65558    25000   -10542.2   0      0.0812765   -0.061354   -0.00372792      0.0812765   -0.061354   -0.00372792
 65533    25000   -9939.76   0      0.0797823   -0.0600297   -0.00340567      0.0797823   -0.0600297   -0.00340567
 63489    25000   -9337.35   0      0.0780297   -0.0586008   -0.00305991      0.0780297   -0.0586008   -0.00305991
 65417    25000   -8734.94   0      0.0757295   -0.0570523   -0.00276015      0.0757295   -0.0570523   -0.00276015
 63484    25000   -8132.53   0      0.0730996   -0.0554675   -0.0024522      0.0730996   -0.0554675   -0.0024522
 63608    25000   -7530.12   0      0.07007   -0.0538283   -0.00213891      0.07007   -0.0538283   -0.00213891
 65384    25000   -6927.71   0      0.066485   -0.0521294   -0.00188011      0.066485   -0.0521294   -0.00188011
 65365    25000   -6325.3   0      0.0625983   -0.0504691   -0.00159699      0.0625983   -0.0504691   -0.00159699
 65326    25000   -5722.89   0      0.058138   -0.0487705   -0.00136889      0.058138   -0.0487705   -0.00136889
 62732    25000   -5120.48   0      0.0533332   -0.0471823   -0.00116535      0.0533332   -0.0471823   -0.00116535
 65279    25000   -4518.07   0      0.0481977   -0.0457028   -0.000912341      0.0481977   -0.0457028   -0.000912341
 65221    25000   -3915.66   0      0.0425652   -0.0442558   -0.000783308      0.0425652   -0.0442558   -0.000783308
 65220    25000   -3313.25   0      0.0367075   -0.0430574   -0.000594592      0.0367075   -0.0430574   -0.000594592
 63193    25000   -2710.84   0      0.0304823   -0.0419355   -0.000454312      0.0304823   -0.0419355   -0.000454312
 65109    25000   -2108.43   0      0.023969   -0.0410409   -0.000333209      0.023969   -0.0410409   -0.000333209
 65111    25000   -1506.02   0      0.017422   -0.0403993   -0.000155848      0.017422   -0.0403993   -0.000155848
 65142    25000   -903.614   0      0.0105998   -0.0398756   -7.65029e-05      0.0105998   -0.0398756   -7.65029e-05
 65102    25000   -301.205   0      0.00368716   -0.0396868   3.07322e-05      0.00368716   -0.0396868   3.07322e-05
 59739    25000   301.205   0      -0.0032357   -0.0396322   0.000151146      -0.0032357   -0.0396322   0.000151146
 59800    25000   903.614   0      -0.0101537   -0.0398655   0.000252917      -0.0101537   -0.0398655   0.000252917
 65229    25000   1506.02   0      -0.0169486   -0.0403598   0.000406286      -0.0169486   -0.0403598   0.000406286
 65228    25000   2108.43   0      -0.0236011   -0.0409824   0.000518771      -0.0236011   -0.0409824   0.000518771
