node     xfem      yfem     zfem
23607   246.581   47.252   6384.65
26463   246.174   79.7785   6374.08
23687   245.767   112.305   6363.51
24246   245.36   144.832   6352.94
23694   244.953   177.358   6342.37
28198   -216.247   11.2776   6396.34
28176   -185.453   8.28779   6397.31
28100   -154.613   5.7567   6398.13
28222   -123.736   3.68497   6398.8
28127   -92.8287   2.07309   6399.33
28151   -61.8984   0.921467   6399.7
28216   -30.953   0.230381   6399.93
28115   4.47197e-13   2.04636e-12   6400
28117   30.953   0.230381   6399.93
28137   61.8984   0.921467   6399.7
28041   92.8287   2.07309   6399.33
28031   123.736   3.68497   6398.8
28034   154.613   5.7567   6398.13
28132   185.453   8.28779   6397.31
28231   216.247   11.2776   6396.34
23637   -244.953   177.358   6342.37
23635   -245.36   144.832   6352.94
24241   -245.767   112.305   6363.51
23998   -246.174   79.7785   6374.08
24001   -246.581   47.252   6384.65
9590   212.108   205.881   6333.11
9589   179.598   202.446   6334.22
8569   147.027   199.582   6335.15
8568   114.406   197.289   6335.9
8817   81.7467   195.569   6336.46
9495   49.0591   194.422   6336.83
9496   16.3549   193.849   6337.01
8885   -16.3549   193.849   6337.01
8884   -49.0591   194.422   6336.83
8887   -81.7467   195.569   6336.46
8471   -114.406   197.289   6335.9
8948   -147.027   199.582   6335.15
8869   -179.598   202.446   6334.22
9297   -212.108   205.881   6333.11
23876   246.988   14.7254   6395.22
9633   244.546   209.885   6331.8
26451   -246.988   14.7254   6395.22
9298   -244.546   209.885   6331.8
28077   215.468   62.6465   6379.64
27811   218.156   96.1715   6368.75
27808   217.785   126.996   6358.74
27695   219.423   153.85   6350.01
28093   -202.016   39.2552   6387.25
28086   -168.292   35.1023   6388.59
28099   -136.548   32.1553   6389.55
28095   -105.407   29.6136   6390.38
28129   -74.8984   27.6875   6391
28144   -44.7024   26.6996   6391.32
28122   -14.2947   26.4149   6391.42
28109   16.3887   26.5101   6391.39
28111   47.1703   27.0276   6391.22
28135   77.8786   27.9552   6390.92
28042   108.175   29.4199   6390.44
28032   138.073   31.5605   6389.75
28071   168.242   33.6753   6389.06
28133   198.62   35.2222   6388.56
27735   -219.052   154.333   6349.85
27737   -217.378   127.922   6358.44
27776   -217.822   98.2942   6368.06
27777   -214.56   69.4163   6377.45
27885   201.673   176.107   6342.78
27884   166.61   173.114   6343.75
27992   132.873   171.259   6344.35
28009   99.8149   169.352   6344.97
28003   66.7459   167.92   6345.44
27927   33.6643   167.066   6345.72
27983   0.607687   166.777   6345.81
27843   -32.5222   166.918   6345.77
27699   -65.9955   167.534   6345.56
27826   -99.5928   169.054   6345.07
27845   -132.884   171.256   6344.36
27847   -166.521   173.335   6343.68
27968   -201.512   176.369   6342.69
27995   224.781   34.2247   6388.88
27812   194.178   84.4579   6372.56
27814   191.4   110.763   6364.01
27946   187.74   143.911   6353.24
28094   -181.905   64.3263   6379.1
28088   -149.404   61.7267   6379.94
28096   -117.092   58.0569   6381.14
28130   -86.9493   54.3571   6382.34
28153   -58.3919   52.8368   6382.83
28141   -28.9983   53.3727   6382.66
28120   1.67137   53.8012   6382.52
28106   32.7381   54.2944   6382.36
28105   63.7868   54.9957   6382.13
28147   93.847   55.7608   6381.88
28159   122.497   57.1764   6381.42
28155   151.587   59.8883   6380.54
28070   182.14   61.2248   6380.11
27900   -187.471   144.655   6353
27825   -191.005   112.4   6363.48
27789   151.414   144.394   6353.08
27868   118.092   141.734   6353.95
27849   84.3501   140.147   6354.46
27851   50.7358   139.474   6354.68
27926   17.5995   139.045   6354.82
27876   -15.5616   138.666   6354.94
27697   -49.7919   138.013   6355.16
27698   -84.7694   139.258   6354.75
27803   -118.925   142.492   6353.7
27846   -151.841   145.3   6352.79
27910   165.237   90.8421   6370.48
27911   166.546   120.749   6360.77
28004   -164.19   93.4117   6369.65
27806   -128.578   87.6413   6371.52
27836   -96.2907   82.2873   6373.26
28036   -71.0639   75.0049   6375.63
28173   -45.4284   79.629   6374.13
28017   -14.114   81.479   6373.53
27763   17.6705   82.2887   6373.26
27762   49.5573   82.8473   6373.08
27863   81.1261   82.9444   6373.05
28253   109.224   81.4035   6373.55
27959   134.385   83.4733   6372.88
27824   -193.896   87.5698   6371.55
27965   -166.711   122.631   6360.15
27790   137.041   112.781   6363.36
27864   102.589   109.726   6364.35
27760   67.1135   111.021   6363.93
27764   34.0562   110.888   6363.97
27766   1.35631   110.322   6364.15
27857   -32.0697   108.948   6364.6
27834   -69.3154   105.111   6365.85
27804   -106.155   112.363   6363.49
27796   -139.4   117.307   6361.88
27954   120.81   96.8461   6368.53
